"Notes"	"Year"	"Year Code"	"Census Region"	"Census Region Code"	"2005 Metro/Nonmetro"	"2005 Metro/Nonmetro Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Census Region 1: Northeast"	"CENS-R1"	"Metro"	"Metro"	15525	5031157	308.6	626.7
	"1999"	"1999"	"Census Region 1: Northeast"	"CENS-R1"	"Nonmetro"	"Nonmetro"	202	85780	235.5	702.6
"Total"	"1999"	"1999"	"Census Region 1: Northeast"	"CENS-R1"			15727	5116937	307.4	627.5
	"1999"	"1999"	"Census Region 2: Midwest"	"CENS-R2"	"Metro"	"Metro"	5869	2594583	226.2	632.5
	"1999"	"1999"	"Census Region 2: Midwest"	"CENS-R2"	"Nonmetro"	"Nonmetro"	894	346098	258.3	925.0
"Total"	"1999"	"1999"	"Census Region 2: Midwest"	"CENS-R2"			6763	2940681	230.0	662.0
	"1999"	"1999"	"Census Region 3: South"	"CENS-R3"	"Metro"	"Metro"	34828	9842508	353.9	679.7
	"1999"	"1999"	"Census Region 3: South"	"CENS-R3"	"Nonmetro"	"Nonmetro"	4643	1173984	395.5	804.6
"Total"	"1999"	"1999"	"Census Region 3: South"	"CENS-R3"			39471	11016492	358.3	692.0
	"1999"	"1999"	"Census Region 4: West"	"CENS-R4"	"Metro"	"Metro"	38102	14022089	271.7	667.8
	"1999"	"1999"	"Census Region 4: West"	"CENS-R4"	"Nonmetro"	"Nonmetro"	3677	841596	436.9	815.8
"Total"	"1999"	"1999"	"Census Region 4: West"	"CENS-R4"			41779	14863685	281.1	679.3
"Total"	"1999"	"1999"					103740	33937795	305.7	676.4
	"2000"	"2000"	"Census Region 1: Northeast"	"CENS-R1"	"Metro"	"Metro"	16106	5160348	312.1	626.9
	"2000"	"2000"	"Census Region 1: Northeast"	"CENS-R1"	"Nonmetro"	"Nonmetro"	233	93739	248.6	695.3
"Total"	"2000"	"2000"	"Census Region 1: Northeast"	"CENS-R1"			16339	5254087	311.0	627.7
	"2000"	"2000"	"Census Region 2: Midwest"	"CENS-R2"	"Metro"	"Metro"	5921	2726948	217.1	594.1
	"2000"	"2000"	"Census Region 2: Midwest"	"CENS-R2"	"Nonmetro"	"Nonmetro"	959	397584	241.2	750.2
"Total"	"2000"	"2000"	"Census Region 2: Midwest"	"CENS-R2"			6880	3124532	220.2	613.4
	"2000"	"2000"	"Census Region 3: South"	"CENS-R3"	"Metro"	"Metro"	36328	10317057	352.1	677.6
	"2000"	"2000"	"Census Region 3: South"	"CENS-R3"	"Nonmetro"	"Nonmetro"	4773	1269639	375.9	753.7
